SampleName,SampleFolder,SampleNumber,Batch,Covariate,VisName
cpes1_1.fastq.gz,,1,NA,cpes,cpes_1
cpes1_2.fastq.gz,,1,NA,cpes,cpes_1
cpes2_1.fastq.gz,,2,NA,cpes,cpes_2
cpes2_2.fastq.gz,,2,NA,cpes,cpes_2
cpes3_1.fastq.gz,,3,NA,cpes,cpes_3
cpes3_2.fastq.gz,,3,NA,cpes,cpes_3
rescue1_1.fastq.gz,,4,NA,rescue,rescue_1
rescue1_2.fastq.gz,,4,NA,rescue,rescue_1
rescue2_1.fastq.gz,,5,NA,rescue,rescue_2
rescue2_2.fastq.gz,,5,NA,rescue,rescue_2
rescue3_1.fastq.gz,,6,NA,rescue,rescue_3
rescue3_2.fastq.gz,,6,NA,rescue,rescue_3
wt1_1.fastq.gz,,7,NA,wt,wt_1
wt1_2.fastq.gz,,7,NA,wt,wt_1
wt2_1.fastq.gz,,8,NA,wt,wt_2
wt2_2.fastq.gz,,8,NA,wt,wt_2
wt3_1.fastq.gz,,9,NA,wt,wt_3
wt3_2.fastq.gz,,9,NA,wt,wt_3
